time,cumulative_grains_below_aperture
1.83,1
1.93,1
2.03,1
2.13,1
2.23,2
2.33,2
2.43,2
2.53,3
2.63,3
2.73,4
2.83,4
2.93,4
3.03,5
3.13,5
3.23,6
3.33,7
3.43,8
3.53,8
3.63,9
3.73,9
3.83,9
3.93,10
4.03,10
4.13,11
4.23,11
4.33,11
4.43,11
4.53,12
4.63,12
4.73,12
4.83,13
4.93,13
5.03,13
5.13,13
5.23,13
5.33,14
5.43,14
5.53,14
5.63,15
5.73,15
5.83,15
5.93,15
6.03,15
6.13,15
6.23,15
6.33,15
6.43,15
6.53,15
6.63,15
6.73,15
6.83,15
6.93,15
7.03,15
7.13,15
7.23,16
7.33,16
7.43,16
7.53,17
7.63,17
7.73,17
7.83,17
7.93,17
8.03,18
8.13,18
8.23,18
8.33,18
8.43,18
8.53,18
8.63,19
8.73,19
8.83,19
8.93,20
9.03,20
9.13,20
9.23,20
9.33,20
9.43,21
9.53,21
9.63,21
9.73,21
9.83,21
9.93,21
10.03,22
10.13,22
10.23,22
10.33,22
10.43,22
10.53,23
10.63,23
10.73,23
10.83,23
10.93,24
11.03,24
11.13,24
11.23,24
11.33,24
11.43,24
11.53,25
11.63,25
11.73,25
11.83,25
11.93,25
12.03,26
12.13,26
12.23,26
12.33,26
12.43,26
12.53,27
12.63,27
12.73,27
12.83,27
12.93,27
13.03,28
13.13,28
13.23,28
13.33,28
13.43,28
13.53,29
13.63,29
13.73,29
13.83,29
13.93,30
14.03,30
14.13,30
14.23,30
14.33,30
14.43,30
14.53,31
14.63,31
14.73,31
14.83,31
14.93,32
15.03,32
15.13,32
15.23,32
15.33,33
15.43,33
15.53,33
15.63,33
15.73,34
15.83,34
15.93,34
16.03,34
16.13,34
16.23,35
16.33,35
16.43,35
16.53,35
16.63,36
16.73,36
16.83,36
16.93,36
17.03,37
17.13,37
17.23,37
17.33,37
17.43,38
17.53,38
17.63,38
17.73,38
17.83,38
17.93,39
18.03,39
18.13,39
18.23,39
18.33,39
18.43,40
18.53,40
18.63,40
18.73,40
18.83,40
18.93,41
19.03,41
19.13,41
19.23,41
19.33,42
19.43,42
19.53,42
19.63,42
19.73,42
19.83,42
19.93,43
20.03,43
20.13,43
20.23,43
20.33,44
20.43,44
20.53,44
20.63,44
20.73,45
20.83,45
20.93,45
21.03,45
21.13,45
21.23,46
21.33,46
21.43,46
21.53,46
21.63,46
21.73,46
21.83,47
21.93,47
22.03,47
22.13,47
22.23,48
22.33,48
22.43,48
22.53,48
22.63,48
22.73,49
22.83,49
22.93,49
23.03,50
23.13,50
23.23,50
23.33,50
23.43,50
23.53,50
23.63,51
23.73,51
23.83,51
23.93,51
24.03,51
24.13,52
24.23,52
24.33,52
24.43,52
24.53,52
24.63,53
24.73,53
24.83,53
24.93,54
25.03,54
25.13,54
25.23,54
25.33,54
25.43,54
25.53,55
25.63,55
25.73,55
25.83,55
25.93,55
26.03,56
26.13,56
26.23,56
26.33,56
26.43,56
26.53,57
26.63,57
26.73,57
26.83,58
26.93,58
27.03,58
27.13,58
27.23,58
27.33,58
27.43,59
27.53,59
27.63,59
27.73,59
27.83,59
27.93,60
28.03,60
28.13,60
28.23,60
28.33,60
28.43,60
28.53,60
28.63,61
28.73,61
28.83,61
28.93,61
29.03,62
29.13,62
29.23,62
29.33,62
29.43,62
29.53,62
29.63,62
29.73,62
29.83,62
29.93,62
30.03,62
30.13,62
30.23,63
30.33,63
30.43,63
30.53,63
30.63,63
30.73,63
30.83,64
30.93,64
31.03,64
31.13,64
31.23,64
31.33,64
31.43,64
31.53,65
31.63,65
31.73,65
31.83,65
31.93,65
32.03,66
32.13,66
32.23,66
32.33,66
32.43,67
32.53,67
32.63,67
32.73,67
32.83,67
32.93,68
33.03,68
33.13,68
33.23,68
33.33,68
33.43,68
33.53,68
33.63,69
33.73,69
33.83,69
33.93,69
34.03,69
34.13,69
34.23,69
34.33,70
34.43,70
34.53,70
34.63,70
34.73,70
34.83,70
34.93,71
35.03,71
35.13,71
35.23,71
35.33,72
35.43,72
35.53,72
35.63,72
35.73,72
35.83,72
35.93,72
36.03,73
36.13,73
36.23,73
36.33,73
36.43,73
36.53,74
36.63,74
36.73,74
36.83,74
36.93,74
37.03,75
37.13,75
37.23,75
37.33,75
37.43,75
37.53,76
37.63,76
37.73,76
37.83,76
37.93,76
38.03,76
38.13,77
38.23,77
38.33,77
38.43,77
38.53,77
38.63,77
38.73,78
38.83,78
38.93,78
39.03,78
39.13,78
39.23,78
39.33,78
39.43,78
39.53,79
39.63,79
39.73,79
39.83,79
39.93,79
40.03,79
40.13,79
40.23,80
40.33,80
40.43,80
40.53,80
40.63,81
40.73,81
40.83,81
40.93,81
41.03,81
41.13,82
41.23,82
41.33,82
41.43,82
41.53,83
41.63,83
41.73,83
41.83,83
41.93,83
42.03,83
42.13,84
42.23,84
42.33,84
42.43,84
42.53,84
42.63,84
42.73,84
42.83,84
42.93,85
43.03,85
43.13,85
43.23,85
43.33,85
43.43,85
43.53,86
43.63,86
43.73,86
43.83,86
43.93,86
44.03,86
44.13,86
44.23,87
44.33,87
44.43,87
44.53,87
44.63,87
44.73,87
44.83,88
44.93,88
45.03,88
45.13,88
45.23,88
45.33,88
45.43,88
45.53,88
45.63,88
45.73,88
45.83,88
45.93,89
46.03,89
46.13,89
46.23,89
46.33,89
46.43,90
46.53,90
46.63,90
46.73,90
46.83,90
46.93,90
47.03,90
47.13,90
47.23,90
47.33,90
47.43,90
47.53,90
47.63,90
47.73,91
47.83,91
47.93,91
48.03,91
48.13,91
48.23,91
48.33,91
48.43,92
48.53,92
48.63,92
48.73,92
48.83,92
48.93,92
49.03,92
49.13,92
49.23,92
49.33,92
49.43,93
49.53,93
49.63,93
49.73,93
49.83,93
49.93,94
50.03,94
50.13,94
50.23,94
50.33,94
50.43,95
50.53,95
50.63,95
50.73,95
50.83,95
50.93,95
51.03,95
51.13,96
51.23,96
51.33,96
51.43,96
51.53,96
51.63,96
51.73,96
51.83,96
51.93,97
52.03,97
52.13,97
52.23,97
52.33,97
52.43,97
52.53,98
52.63,98
52.73,98
52.83,98
52.93,98
53.03,99
53.13,99
53.23,99
53.33,99
53.43,99
53.53,99
53.63,100
53.73,100
53.83,100
53.93,100
54.03,100
54.13,101
54.23,101
54.33,101
54.43,101
54.53,101
54.63,101
54.73,102
54.83,102
54.93,102
55.03,102
55.13,103
55.23,103
55.33,103
55.43,103
55.53,104
55.63,104
55.73,104
55.83,104
55.93,105
56.03,105
56.13,105
56.23,105
56.33,105
56.43,105
56.53,105
56.63,106
56.73,106
56.83,106
56.93,106
57.03,106
57.13,107
57.23,107
57.33,107
57.43,107
57.53,107
57.63,107
57.73,107
57.83,107
57.93,108
58.03,108
58.13,108
58.23,108
58.33,108
58.43,108
58.53,108
58.63,108
58.73,108
58.83,108
58.93,108
59.03,108
59.13,108
59.23,108
59.33,108
59.43,109
59.53,109
59.63,109
59.73,109
59.83,109
59.93,109
60.03,109
60.13,109
60.23,110
60.33,110
60.43,110
60.53,110
60.63,110
60.73,110
60.83,110
60.93,110
61.03,110
61.13,111
61.23,111
61.33,111
61.43,111
61.53,111
61.63,111
61.73,111
61.83,111
61.93,111
62.03,112
62.13,112
62.23,112
62.33,112
62.43,112
62.53,112
62.63,112
62.73,113
62.83,113
62.93,113
63.03,113
63.13,113
63.23,113
63.33,113
63.43,113
63.53,113
63.63,113
63.73,113
63.83,113
63.93,113
64.03,113
64.13,113
64.23,114
64.33,114
64.43,114
64.53,114
64.63,114
64.73,114
64.83,114
64.93,115
65.03,115
65.13,115
65.23,115
65.33,115
65.43,115
65.53,115
65.63,115
65.73,115
65.83,115
65.93,115
66.03,116
66.13,116
66.23,116
66.33,116
66.43,116
66.53,116
66.63,116
66.73,116
66.83,116
66.93,116
67.03,116
67.13,116
67.23,116
67.33,117
67.43,117
67.53,117
67.63,117
67.73,117
67.83,117
67.93,117
68.03,117
68.13,117
68.23,117
68.33,117
68.43,118
68.53,118
68.63,118
68.73,118
68.83,118
68.93,118
69.03,118
69.13,119
69.23,119
69.33,119
69.43,119
69.53,119
69.63,119
69.73,119
69.83,119
69.93,120
70.03,120
70.13,120
70.23,120
70.33,120
70.43,121
70.53,121
70.63,121
70.73,121
70.83,121
70.93,121
71.03,122
71.13,122
71.23,122
71.33,122
71.43,122
71.53,122
71.63,122
71.73,122
71.83,122
71.93,122
72.03,122
72.13,122
72.23,123
72.33,123
72.43,123
72.53,123
72.63,123
72.73,123
72.83,123
72.93,123
73.03,123
73.13,123
73.23,123
73.33,123
73.43,123
73.53,123
73.63,123
73.73,123
73.83,124
73.93,124
74.03,124
74.13,124
74.23,124
74.33,124
74.43,124
74.53,124
74.63,124
74.73,124
74.83,124
74.93,125
75.03,125
75.13,125
75.23,125
75.33,125
75.43,125
75.53,125
75.63,125
75.73,125
75.83,125
75.93,126
76.03,126
76.13,126
76.23,126
76.33,126
76.43,126
76.53,126
76.63,126
76.73,126
76.83,127
76.93,127
77.03,127
77.13,127
77.23,127
77.33,127
77.43,127
77.53,127
77.63,127
77.73,127
77.83,128
77.93,128
78.03,128
78.13,128
78.23,128
78.33,128
78.43,128
78.53,128
78.63,129
78.73,129
78.83,129
78.93,129
79.03,129
79.13,129
79.23,129
79.33,130
79.43,130
79.53,130
79.63,130
79.73,130
79.83,130
79.93,131
80.03,131
80.13,131
80.23,131
80.33,131
80.43,131
80.53,131
80.63,131
80.73,131
80.83,131
80.93,132
81.03,132
81.13,132
81.23,132
81.33,132
81.43,132
81.53,132
81.63,132
81.73,132
81.83,132
81.93,132
82.03,132
82.13,133
82.23,133
82.33,133
82.43,133
82.53,133
82.63,133
82.73,133
82.83,133
82.93,133
83.03,133
83.13,133
83.23,133
83.33,133
83.43,134
83.53,134
83.63,134
83.73,134
83.83,134
83.93,134
84.03,134
84.13,134
84.23,134
84.33,134
84.43,134
84.53,134
84.63,134
84.73,135
84.83,135
84.93,135
85.03,135
85.13,135
85.23,135
85.33,135
85.43,135
85.53,136
85.63,136
85.73,136
85.83,136
85.93,136
86.03,136
86.13,136
86.23,137
86.33,137
86.43,137
86.53,137
86.63,137
86.73,137
86.83,137
86.93,137
87.03,137
87.13,137
87.23,138
87.33,138
87.43,138
87.53,138
87.63,138
87.73,138
87.83,139
87.93,139
88.03,139
88.13,139
88.23,139
88.33,139
88.43,139
88.53,139
88.63,139
88.73,139
88.83,139
88.93,139
89.03,139
89.13,140
89.23,140
89.33,140
89.43,140
89.53,140
89.63,140
89.73,140
89.83,140
89.93,140
