time,ix,value
0.01,0,0.0
0.01,1,0.0
0.01,2,0.0
0.01,3,0.0
0.01,4,0.0
0.01,5,0.0
0.01,6,0.0
0.01,7,0.0
0.01,8,0.0
0.01,9,0.0
0.01,10,0.0
0.01,11,0.0
0.01,12,0.0
0.01,13,0.0
0.01,14,0.0
0.01,15,0.0
0.01,16,0.0
0.01,17,0.0
0.01,18,0.0
0.01,19,0.0
0.01,20,0.0
0.01,21,0.0
0.01,22,0.0
0.01,23,0.0
0.01,24,0.0
0.01,25,0.0
0.01,26,0.0
0.01,27,0.0
0.01,28,0.0
0.01,29,0.0
0.01,30,0.0
0.01,31,0.0
0.01,32,0.0
0.01,33,0.0
0.01,34,0.0
0.01,35,0.0
0.01,36,0.0
0.01,37,0.0
0.01,38,0.0
0.01,39,0.0
0.01,40,0.0
0.01,41,0.0
0.01,42,0.0
0.01,43,0.0
0.01,44,0.0
0.01,45,0.0
0.01,46,0.0
0.01,47,0.0
0.01,48,0.0
0.01,49,0.0
0.01,50,0.0
0.01,51,0.0
0.01,52,0.0
0.01,53,0.0
0.11,0,0.0
0.11,1,0.0
0.11,2,0.0
0.11,3,0.0
0.11,4,0.0
0.11,5,0.0
0.11,6,0.0
0.11,7,0.0
0.11,8,0.0
0.11,9,0.0
0.11,10,0.0
0.11,11,0.0
0.11,12,0.0
0.11,13,0.0
0.11,14,0.0
0.11,15,0.0
0.11,16,0.0
0.11,17,0.0
0.11,18,0.0
0.11,19,0.0
0.11,20,0.0
0.11,21,0.0
0.11,22,0.0
0.11,23,0.0
0.11,24,0.0
0.11,25,0.0
0.11,26,0.0
0.11,27,0.0
0.11,28,0.0
0.11,29,0.0
0.11,30,0.0
0.11,31,0.0
0.11,32,0.0
0.11,33,0.0
0.11,34,0.0
0.11,35,0.0
0.11,36,0.0
0.11,37,0.0
0.11,38,0.0
0.11,39,0.0
0.11,40,0.0
0.11,41,0.0
0.11,42,0.0
0.11,43,0.0
0.11,44,0.0
0.11,45,0.0
0.11,46,0.0
0.11,47,0.0
0.11,48,0.0
0.11,49,0.0
0.11,50,0.0
0.11,51,0.0
0.11,52,0.0
0.11,53,0.0
0.21,0,0.0
0.21,1,0.0
0.21,2,0.0
0.21,3,0.0
0.21,4,0.0
0.21,5,0.0
0.21,6,0.0
0.21,7,0.0
0.21,8,0.0
0.21,9,0.0
0.21,10,0.0
0.21,11,0.0
0.21,12,0.0
0.21,13,0.0
0.21,14,0.0
0.21,15,0.0
0.21,16,0.0
0.21,17,0.0
0.21,18,0.0
0.21,19,0.0
0.21,20,0.0
0.21,21,0.0
0.21,22,0.0
0.21,23,0.0
0.21,24,0.0
0.21,25,0.0
0.21,26,0.0
0.21,27,0.0
0.21,28,0.0
0.21,29,0.0
0.21,30,0.0
0.21,31,0.0
0.21,32,0.0
0.21,33,0.0
0.21,34,0.0
0.21,35,0.0
0.21,36,0.0
0.21,37,0.0
0.21,38,0.0
0.21,39,0.0
0.21,40,0.0
0.21,41,0.0
0.21,42,0.0
0.21,43,0.0
0.21,44,0.0
0.21,45,0.0
0.21,46,0.0
0.21,47,0.0
0.21,48,0.0
0.21,49,0.0
0.21,50,0.0
0.21,51,0.0
0.21,52,0.0
0.21,53,0.0
0.31,0,0.0
0.31,1,0.0
0.31,2,0.0
0.31,3,0.0
0.31,4,0.0
0.31,5,0.0
0.31,6,0.0
0.31,7,0.0
0.31,8,0.0
0.31,9,0.0
0.31,10,0.0
0.31,11,0.0
0.31,12,0.0
0.31,13,0.0
0.31,14,0.0
0.31,15,0.0
0.31,16,0.0
0.31,17,0.0
0.31,18,0.0
0.31,19,0.0
0.31,20,0.0
0.31,21,0.0
0.31,22,0.0
0.31,23,0.0
0.31,24,0.0
0.31,25,0.0
0.31,26,0.0
0.31,27,0.0
0.31,28,0.0
0.31,29,0.0
0.31,30,0.0
0.31,31,0.0
0.31,32,0.0
0.31,33,0.0
0.31,34,0.0
0.31,35,0.0
0.31,36,0.0
0.31,37,0.0
0.31,38,0.0
0.31,39,0.0
0.31,40,0.0
0.31,41,0.0
0.31,42,0.0
0.31,43,0.0
0.31,44,0.0
0.31,45,0.0
0.31,46,0.0
0.31,47,0.0
0.31,48,0.0
0.31,49,0.0
0.31,50,0.0
0.31,51,0.0
0.31,52,0.0
0.31,53,0.0
0.41,0,0.0
0.41,1,0.0
0.41,2,0.0
0.41,3,0.0
0.41,4,0.0
0.41,5,0.0
0.41,6,0.0
0.41,7,0.0
0.41,8,0.0
0.41,9,0.0
0.41,10,0.0
0.41,11,0.0
0.41,12,0.0
0.41,13,0.0
0.41,14,0.0
0.41,15,0.0
0.41,16,0.0
0.41,17,0.0
0.41,18,0.0
0.41,19,0.0
0.41,20,0.0
0.41,21,0.0
0.41,22,0.0
0.41,23,0.0
0.41,24,0.0
0.41,25,0.0
0.41,26,0.0
0.41,27,0.0
0.41,28,0.0
0.41,29,0.0
0.41,30,0.0
0.41,31,0.0
0.41,32,0.0
0.41,33,0.0
0.41,34,0.0
0.41,35,0.0
0.41,36,0.0
0.41,37,0.0
0.41,38,0.0
0.41,39,0.0
0.41,40,0.0
0.41,41,0.0
0.41,42,0.0
0.41,43,0.0
0.41,44,0.0
0.41,45,0.0
0.41,46,0.0
0.41,47,0.0
0.41,48,0.0
0.41,49,0.0
0.41,50,0.0
0.41,51,0.0
0.41,52,0.0
0.41,53,0.0
0.51,0,0.0
0.51,1,0.0
0.51,2,0.0
0.51,3,0.0
0.51,4,0.0
0.51,5,0.0
0.51,6,0.0
0.51,7,0.0
0.51,8,0.0
0.51,9,0.0
0.51,10,0.0
0.51,11,0.0
0.51,12,0.0
0.51,13,0.0
0.51,14,0.0
0.51,15,0.0
0.51,16,0.0
0.51,17,0.0
0.51,18,0.0
0.51,19,0.0
0.51,20,0.0
0.51,21,0.0
0.51,22,0.0
0.51,23,0.0
0.51,24,0.0
0.51,25,0.0
0.51,26,0.0
0.51,27,0.0
0.51,28,0.0
0.51,29,0.0
0.51,30,0.0
0.51,31,0.0
0.51,32,0.0
0.51,33,0.0
0.51,34,0.0
0.51,35,0.0
0.51,36,0.0
0.51,37,0.0
0.51,38,0.0
0.51,39,0.0
0.51,40,0.0
0.51,41,0.0
0.51,42,0.0
0.51,43,0.0
0.51,44,0.0
0.51,45,0.0
0.51,46,0.0
0.51,47,0.0
0.51,48,0.0
0.51,49,0.0
0.51,50,0.0
0.51,51,0.0
0.51,52,0.0
0.51,53,0.0
0.61,0,0.0
0.61,1,0.0
0.61,2,0.0
0.61,3,0.0
0.61,4,0.0
0.61,5,0.0
0.61,6,0.0
0.61,7,0.0
0.61,8,0.0
