time,cumulative_grains_below_aperture
1.63,1
1.73,2
1.83,3
1.93,4
2.03,4
2.13,6
2.23,6
2.33,8
2.43,9
2.53,9
2.63,10
2.73,12
2.83,13
2.93,14
3.03,16
3.13,16
3.23,17
3.33,19
3.43,20
3.53,21
3.63,22
3.73,23
3.83,24
3.93,26
4.03,27
4.13,27
4.23,28
4.33,29
4.43,29
4.53,30
4.63,31
4.73,32
4.83,33
4.93,33
5.03,34
5.13,35
5.23,35
5.33,35
5.43,36
5.53,38
5.63,38
5.73,38
5.83,38
5.93,40
6.03,40
6.13,40
6.23,41
6.33,43
6.43,43
6.53,43
6.63,45
6.73,45
6.83,47
6.93,48
7.03,48
7.13,49
7.23,50
7.33,52
7.43,53
7.53,53
7.63,54
7.73,55
7.83,55
7.93,57
8.03,57
8.13,58
8.23,59
8.33,59
8.43,60
8.53,61
8.63,62
8.73,62
8.83,62
8.93,64
9.03,64
9.13,65
9.23,66
9.33,66
9.43,67
9.53,68
9.63,68
9.73,69
9.83,70
9.93,70
10.03,70
10.13,71
10.23,72
10.33,73
10.43,74
10.53,74
10.63,75
10.73,76
10.83,77
10.93,77
11.03,79
11.13,79
11.23,79
11.33,81
11.43,81
11.53,81
11.63,83
11.73,83
11.83,83
11.93,84
12.03,85
12.13,86
12.23,86
12.33,88
12.43,88
12.53,88
12.63,90
12.73,91
12.83,91
12.93,91
13.03,93
13.13,93
13.23,94
13.33,95
13.43,96
13.53,96
13.63,97
13.73,98
13.83,98
13.93,99
14.03,99
14.13,99
14.23,101
14.33,102
14.43,102
14.53,103
14.63,103
14.73,104
14.83,105
14.93,105
15.03,106
15.13,107
15.23,107
15.33,108
15.43,108
15.53,109
15.63,109
15.73,110
15.83,110
15.93,111
16.03,112
16.13,112
16.23,113
16.33,113
16.43,114
16.53,114
16.63,115
16.73,116
16.83,116
16.93,116
17.03,118
17.13,118
17.23,118
17.33,119
17.43,121
17.53,121
17.63,121
17.73,121
17.83,122
17.93,123
18.03,123
18.13,124
18.23,124
18.33,125
18.43,126
18.53,126
18.63,127
18.73,127
18.83,128
18.93,128
19.03,129
